Case Number,Date,Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,
2005.08.14,14-Aug-05,2005,Invalid,SOUTH AFRICA,Western Cape Province,,,,Human foot recovered from the water,,,Shark involvement prior to death was not confirmed,
2005.08.12,12-Aug-05,2005,Unprovoked,USA,North Carolina,Surfing,M,16,Laceration on right wrist & crescent of puncture wounds on  forearm ,N,11h30,1.8 m [6'] shark,
2005.08.06,6-Aug-05,2005,Unprovoked,USA,South Carolina,Swimming,M,14,Puncture wounds on left foot ,N,09h45,,
2005.08.01,1-Aug-05,2005,Invalid,Seychelles,Inner Islands,Fishing,M,,"FATAL, shark involvement prior to death is unconfirmed",,,Invalid,
2005.07.27,27-Jul-05,2005,Unprovoked,USA,Florida,Wading,F,13,Laceration on the back of left hand & toothmarks on wrist,N,18h00,,
2005.07.23,23-Jul-05,2005,Unprovoked,USA,Florida,Surfing,M,61,"Right foot: Toes and back of foot, minor injury",N,11h30,,
2005.07.22,22-Jul-05,2005,Invalid,USA,Florida,Surfing,M,25,"Straight 2.5"" laceration on top of left ankle",,11h15,Shark involvement not confirmed,
2005.07.17.b,17-Jul-05,2005,Invalid,LIBERIA,,Swimming,M,,Presumed to have drowned until his body washed ashore 2 weeks later with shark bites,,,Shark involvement prior to death was not confirmed,
2005.07.17.a,17-Jul-05,2005,Provoked,CHINA,Shanghai,Scuba diving in aquarium tank,M,24,2 small cuts on right ear & head when he collided with the captive shark. PROVOKED INCIDENT,N,,3.5 m [11.5']shark,
2005.07.15.R,Reported      15-Jul-2005,2005,Invalid,AUSTRALIA,,,,,"A hoax - No shark was involved and Wells' ""daughter"" was his business partner Eileen Purchase who injured her finger on his boat",,,No shark involvement,
2005.07.15,15-Jul-05,2005,Unprovoked,USA,North Carolina,Swimming,M,22,Lacerations of left forearm,N,16h40,[4.5' to 5'] shark,
2005.07.13,13-Jul-05,2005,Unprovoked,USA,Texas,Holding onto an inflatable boat,F,14,Left foot bitten,N,13h00,[4' to 5'],
2005.07.01,1-Jul-05,2005,Unprovoked,USA,Florida,Standing,M,19,Ankle bitten,N,11h30,,
2005.06.27,27-Jun-05,2005,Unprovoked,USA,Florida,Fishing,M,16,"Leg severely bitten, surgically amputated",N,11h30,Bull shark,
2005.06.25,25-Jun-05,2005,Unprovoked,USA,Florida,Swimming with boogie board,F,14,"FATAL, leg bitten",Y,11h15,1.8 m [6'] bull shark,
2005.06.22,22-Jun-05,2005,Unprovoked,VANUATU,Malampa Province,Swimming,F,7,FATAL,Y,Afternoon,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",
2005.06.21,20-Jun-05,2005,Unprovoked,MEXICO ,Baja California,Surfing,M,,Left foot bitten,N,07h00,,
2005.06.18,18-Jun-05,2005,Invalid,USA,Hawaii,Swimming,M,49,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",,08h00,Invalid,
2005.06.16,16-Jun-05,2005,Unprovoked,USA,Florida,Swimming,M,20,Foot bitten,N,Afternoon,"Unknown, but it was reported that a shark tooth was recovered from the wound",
2005.06.13,13-Jun-05,2005,Unprovoked,SOUTH KOREA,South Ch'ungch'ong Province,Diving,F,38,Knee bitten,N,,3 m [10'] white shark,
2005.06.07,7-Jun-05,2005,Unprovoked,USA,South Carolina,Boogie boarding,F,11,Foot lacerated,N,11h30 ,,
2005.06.05,5-Jun-05,2005,Invalid,USA,New Jersey,Surfing,M,17,Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,,11h00,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",
2005.06.04,4-Jun-05,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing (Free diving),M,22,FATAL,Y,15h45,White shark,
2005.06.02,2-Jun-05,2005,Unprovoked,USA,Texas,Wading,M,6,Two 2-inch lacerations on right foot,N,Morning,,
2005.05.28,28-May-05,2005,Unprovoked,USA,Florida,Swimming,M,33,Left foot bitten,N,17h30,"""small shark""",
2005.05.27,27-May-05,2005,Unprovoked,USA,Florida,Crouching in 2' of water,F,,Right arm & torso bitten,N,18h30,"18"" to 36"" shark",
2005.05.25,25-May-05,2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,32,Left buttock  & legs lacerated ,N,11h00,Raggedtooth shark,
2005.05.15,15-May-05,2005,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M ,,Severe injury to lower leg,N,,Blacktip shark,
2005.05.14,14-May-05,2005,Boating,USA,Hawaii,Kayaking,,,"No injury, shark bit kayak",N,11h00,"Tiger shark, 8' to 9' ",
2005.05.03,3-May-05,2005,Unprovoked,MADAGASCAR,,Fishing,M,,Thigh bitten,N,,2.5 m shark,
2005.05.02.R,2-May-05,2005,Sea Disaster,USA,South Carolina,Sea Disaster,M,Teens,No injury,N,,,
2005.05.02,2-May-05,2005,Unprovoked,USA,Hawaii,Surfing,M,47,"No injury, board damaged",N,10h30,"Tiger shark, 3 m [10']",
2005.04.25,25-Apr-05,2005,Provoked,AUSTRALIA,New South Wales,Fishing,M,25,Laceration on left thigh PROVOKED INCIDENT,N,23h00,"Mako shark, 1.5 m [5'] ",
2005.04.17.R,17-Apr-05,2005,Unprovoked,AUSTRALIA,New South Wales,,,,Shark-bitten surfboard found adrift,N,,,
2005.04.16.b,16-Apr-05,2005,Unprovoked,AUSTRALIA,Northern Territory,Spearfishing,M,20,Minor cuts above his right eye,N,,2 m [6.75'] copper shark,
2005.04.16.a,16-Apr-05,2005,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,40,"No injury, board bitten",N,06h10,Bronze whaler shark,
2005.04.13,13-Apr-05,2005,Unprovoked,USA,Florida,Wading,F,70,Right lower leg bitten,N,,1.8 m [6'] blacktip shark,
2005.04.09,9-Apr-05,2005,Invalid,USA,Florida,Surfing,M,52,Foot injured ,,,Shark involvement not confirmed,
2005.04.07,7-Apr-05,2005,Unprovoked,USA,Texas,Surfing,M,37,Left foot bitten ,N,19h00,,
2005.04.06,6-Apr-05,2005,Unprovoked,USA,Florida,,F,,Left calf injured,N,,small hammerhead shark,
2005.04.06,6-Apr-05,2005,Invalid,HONDURAS,Bay Islands,SCUBA Diving,F,,"Laceration on siide of calf, small laceration on thigh, large bruise on other leg inside the knee, knuckle of hand abraded",,,Shark involvement not confirmed,
2005.03.28,28-Mar-05,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,32,"Lacerations to right calf, puncture wounds on right foot",N,09h45,4 m [13'] shark,
2005.03.27.R,Reported    27-Mar-2005,2005,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,,"No injury, shark rammed surfboard",N,,,
2005.03.25,25-Mar-05,2005,Unprovoked,VENEZUELA,,Surfing,M,,Right leg bitten,N,17h30,,
2005.03.19,19-Mar-05,2005,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,M,26,FATAL,Y,14h00,6 m [20'] white shark,
2005.03.12,12-Mar-05,2005,Provoked,USA,New Mexico,Diving in aquarium display tank,M,45,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,15h30,"Sandtiger shark, 2.1 m [7'] ",
2005.03.10,10-Mar-05,2005,Invalid,SOUTH AFRICA,KwaZulu-Natal,,M,51,Bites by 2.5 m tiger shark were post mortem,,,Invalid,
2005.03.09,9-Mar-05,2005,Provoked,NEW ZEALAND,North Island,Fishing,M,,"No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",N,14h00,"Bronze whaler shark, 4.3 m [14'] ",
2005.03.05,5-Mar-05,2005,Unprovoked,SOLOMON ISLANDS,Santa Isabel Province,Diving,M,,Thighs bitten,N,,,
2005.02.26,26-Feb-05,2005,Unprovoked,AUSTRALIA,Queensland,Swimming,M,18,Finger bitten,N,,Bull shark,
2005.02.22,22-Feb-05,2005,Provoked,USA,Florida,Spearfishing,M,,Speared shark bit his chest PROVOKED INCIDENT,N,,"Nurse shark, 3' ",
2005.02.16,16-Feb-05,2005,Unprovoked,USA,Hawaii,Surfing,M,,"No injury, knocked off board, shark bit board",N,14h30,"Tiger shark, 2.4 m [8']",
2005.02.13,13-Feb-05,2005,Unprovoked,USA,Florida,Spearfishing,M,,Hand bitten,N,,1.8 m [6'] Caribbean reef shark,
2005.02.04,4-Feb-05,2005,Unprovoked,BRAZIL,Bahia,Surfing,M,12,Right thigh & ankle injured,N,,,
2005.01.20,20-Jan-05,2005,Unprovoked,CUBA,Santiago de Cuba Province,Swimming,M,19,Left foot severed,N,,3 m [10'] shark,
2005.01.19,19-Jan-05,2005,Provoked,AUSTRALIA,Victoria,Spearfishing,M,,No injury. Towed by speared shark PROVOKED INCIDENT,N,,3 m shark,
2005.01.14,14-Jan-05,2005,Provoked,AUSTRALIA,Victoria,Attempting to drive shark away from sailing regatta,,,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",N,14h00,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']  ",
2005.01.08,8-Jan-05,2005,Boating,NEW ZEALAND,North Island,Fishing from a kayak,M,39,"No injury, kayak bumped repeatedly",N,12h00,White shark,
2004.12.26,26-Dec-04,2004,Invalid,SRI LANKA,Eastern Province,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",F,11,No injury,,,No shark involvement,
2004.12.16,16-Dec-04,2004,Unprovoked,AUSTRALIA,South Australia,Scurfing (surfboard being  towed behind a boat),M,18,FATAL,Y,15h15,4.5 m & 5 m white shark ,
2004.12.11,11-Dec-04,2004,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,38,"FATAL, leg bitten",Y,13h00,Bull shark,
2004.11.27,27-Nov-04,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,20,3 lacerations on foot,N,18h00,Raggedtooth shark,
2004.11.26,26-Nov-04,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Playing,M,16,Lacerations on lower leg & foot,N,,Raggedtooth shark,
2004.11.15,15-Nov-04,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,F,77,FATAL,Y,07h00,6 m [20'] white shark,
2004.11.11.b,11-Nov-04,2004,Unprovoked,USA,California,Surfing,lli,38,"Lacerations to hand, knee & thigh ",N,13h30,5.5 m [18'] white shark,
2004.11.11.a,11-Nov-04,2004,Unprovoked,VANUATU,Malampa Province,Snorkeling,M,30s,Thigh bitten,N,09h00,,
2004.11.00,4-Nov,2004,Unprovoked,NEW CALEDONIA,North Province,Diving,,,Forearm bitten,N,,3 m shark,
2004.10.31,31-Oct-04,2004,Unprovoked,CUBA,Camaguey Province,Diving,M,40,Left forearm bitten,N,14h00,2.5 m [8.25'] bull shark,
2004.10.30.x,30-Oct-04,2004,Invalid,NEW ZEALAND,North Island,,,,No injury,,,Invalid,
2004.10.30.a,30-Oct-04,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Chumming for white sharks,M,52,Right ankle & foot lacerated,N,Morning,2 m [6.75'] white shark,
2004.10.21,21-Oct-04,2004,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,59,Right foot lacerated,N,Afternoon,"Bronze whaler shark, 2.4 m [8'] ",
2004.10.10,10-Oct-04,2004,Unprovoked,USA,California,Surfing,M,,Lower leg bitten,N,09h30,1.8 m to 2.4 m [6' to 8'] white shark,
2004.10.09.b,9-Oct-04,2004,Unprovoked,USA,Hawaii,Spearfishing,M,34,Left shoulder bitten,N,12h40,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",
2004.10.09.a,9-Oct-04,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,34,Puncture wounds on right foot,N,Morning,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",
2004.10.06,6-Oct-04,2004,Unprovoked,REUNION,Conservatoria District,Body boarding,M,15,"Leg severely bitten, surgically amputated",N,16h15,Thought to involve a 2.5 m bull or tiger shark,
2004.10.02,2-Oct-04,2004,Unprovoked,USA,California,Surfing,M,16,"No injury, knocked off surfboard",N,15h30,,
2004.10.01,1-Oct-04,2004,Unprovoked,USA,California,Surfing,M,40,"No injury, shark struck board & spun it around",N,14h00,,
2004.09.25,25-Sep-04,2004,Boat,AUSTRALIA,Queensland,Spearfishing/ filming,,,"No injury to occupants, boat damaged",N,12h00,"Tiger shark, 3 m [10'] ",
2004.09.20,20-Sep-04,2004,Unprovoked,USA,Oregon,Surfing,M,26,Leg bitten,N,09h00,White shark,
2004.09.10,10-Sep-04,2004,Invalid,USA,Texas,Surf fishing,M,,Minor scratch on calf,,Between 05h00 and 08h00,Shark involvement questionable,
2004.09.08,8-Sep-04,2004,Unprovoked,BRAZIL,Pernambuco,Swimming,,,FATAL,Y,,,
2004.09.04,4-Sep-04,2004,Unprovoked,USA,South Carolina ,Jumping,F,17,Left knee & leg bitten,N,15h40,2.4 m [8'] shark,
2004.08.29,29-Aug-04,2004,Unprovoked,USA,Florida,Walking,F,38,Heel bitten,N,17h30,,
2004.08.21,21-Aug-04,2004,Unprovoked,BRAZIL,Pernambuco,Bathing,M,24,Calf bitten & both hands injured,N,13h00,"Tiger shark, 1.5 m ",
2004.08.20,20-Aug-04,2004,Unprovoked,USA,California,Surfing,M,,Foot bitten,N,17h30,0.9 m to 1.2 m [3' to 4'] white shark,
2004.08.15,15-Aug-04,2004,Unprovoked,USA,California,Diving,M,50,FATAL,Y,16h00,4.9 m to 5.5 m [16' to 18'] white shark,
2004.08.06,6-Aug-04,2004,Unprovoked,USA,Florida,Swimming,M,47,"Back, buttocks, left hand & left side of face bitten",N,20h30,1.2 m [4'] shark,
2004.08.03,3-Aug-04,2004,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,30,Minor puncture wounds to leg,N,14h00,,
2004.08.00,4-Aug,2004,Boat,SOUTH AFRICA,KwaZulu-Natal,Fishing,,,No injury to occupants; boat damaged,N,,3 m to 4 m [10' to 13']  white shark,
2004.07.31,31-Jul-04,2004,Unprovoked,USA,Florida,Surfing,F,20,Right foot bitten,N,13h00,,
2004.07.30,30-Jul-04,2004,Unprovoked,RUSSIA,Kuril Islands in the Pacific,Diving & fishing with net,M,,Thigh & calf bitten,N,,White shark,
2004.07.28,28-Jul-04,2004,Unprovoked,USA,North Carolina,Surfing,F,28,Right calf bitten,N,17h30,,
2004.07.27.b,27-Jul-04,2004,Unprovoked,USA,North Carolina,Swimming,F,13,Right forearm & wrist lacerated,N,17h00,1.8 m [6'] shark,
2004.07.27.a,27-Jul-04,2004,Unprovoked,USA,Texas,Swimming,F,19,Right foot bitten,N,16h30,1.2 m to 1.5 m [4' to 5'] shark,
2004.07.25,25-Jul-04,2004,Unprovoked,USA,Texas,Wading / fishing & carrying a bag of fish,M,11,Right forearm nearly severed and bites above & below the right knee,N,19h30,Bull shark,
2004.07.19.R," 19-Jul-2004 Reported to have happened  ""on the weekend""",2004,Boating,AUSTRALIA,Western Australia,Fishing,,,"No injury to occupants; shark mouthed motor, severed anchor line",N,,4 m [13'] white shark,
2004.07.15,15-Jul-04,2004,Unprovoked,JAPAN,Wakayama Prefecture,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,51,Suffered broken ribs when the shark's tail fin slammed into his chest,N,,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] ",
2004.07.10,10-Jul-04,2004,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,30,"FATAL, abdomen, pelvis & leg bitten      ",Y,14h10,"2 sharks, 4.5 m & 3 m ",
2004.07.02.b,2-Jul-04,2004,Unprovoked,EGYPT,Sinai Peninsula,Snorkeling,F,Teen,Hand severed,N,,"""black tipped"" shark",
2004.07.02.a,2-Jul-04,2004,Unprovoked,USA,Alabama,Wading,M,7,Right foot lacerated,N,16h40,4' to 5' shark,
2004.06.26.b,26-Jun-04,2004,Unprovoked,USA,California,Surfing,M,45,"No injury, shark struck his board",N,09h00,"9'2"" white shark",
2004.06.26.a,26-Jun-04,2004,Invalid,AUSTRALIA,Western Australia,Crayfishing,M,,"No injury, shark made threat displays & diver fended it off with his speargun",,,Invalid,
2004.06.14,14-Jun-04,2004,Unprovoked,USA,Florida,In water with diving seabirds,F,,Foot bitten,N,,,
2004.06.10.b,10-Jun-04,2004,Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,17,Ankle & foot lacerated,N,Late afternoon,"Bronze whaler shark, 2.5 m [8.25'] ",
2004.06.10.a,10-Jun-04,2004,Unprovoked,USA,Florida,Swimming,M,8,Right wrist  & left arm lacerated,N,18h00,1.2 m [4'] shark,
2004.06.02,2-Jun-04,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching perlemoen",M,21,"FATAL, leg severed ",Y,15h00,White shark,
2004.05.29,29-May-04,2004,Unprovoked,USA,Texas,Wading,M,16,Puncture wounds on shin,N,19h45,0.9 m to 1.5 m [3' to 5'] shark,
2004.05.23.b,23-May-04,2004,Unprovoked,BRAZIL,Pernambuco,Swimming,M,17,"Left hand, foot severed &  left calf & arm bitten",N,14h30,Bull shark,
2004.05.28,28-May-04,2004,Unprovoked,USA,California,Surfing,M,44,No injury,N,11h00,2.4 m to 3.7 m [8' to 12'] shark,
2004.05.23.a,23-May-04,2004,Unprovoked,USA,Florida,Boogie-boarding / swimming,M,9,Calf & foot lacerated,N,12h30,,
2004.05.22.c,22-May-04,2004,Invalid,USA,Florida,Swimming,M,9,Single puncture wound on the foot,,,Shark involvement not confirmed,
2004.05.22.b,22-May-04,2004,Unprovoked,USA,Florida,,F,9,Foot bitten,N,Afternoon,,
2004.05.22.a,22-May-04,2004,Unprovoked,BRAZIL,Pernambuco,Wading,F,24,Hips & thighs bitten,N,16h00,,
2004.05.18,18-May-04,2004,Provoked,BAHAMAS,Abaco Islands,Free diving & spearfishing,M,63,Left forearm bitten PROVOKED INCIDENT,N,15h00,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",
2004.05.04,4-May-04,2004,Unprovoked,USA,Texas,Tandem surfing,M,28,"No injury, board bitten",N,16h30,"Mako shark, 1.8 m [6']",
2004.05.01,1-May-04,2004,Unprovoked,BRAZIL,Pernambuco,Swimming,M,22,FATAL,Y,Afternoon,,
2004.04.26,26-Apr-04,2004,Unprovoked,AUSTRALIA,New South Wales,Diving,M,,Puncture wounds on wrist,N,Morning,"Wobbegong shark, 1.2 m [4'] k",
2004.04.22,22-Apr-04,2004,Boat,NEW ZEALAND,North Island,Fishing,,,"No injury to occupants, boat scratched by shark",N,,"White shark, 5.5 m [18']",
2004.04.13.b,13-Apr-04,2004,Unprovoked, TONGA,Nuku'alofa,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,,small sharks,
2004.04.13.a,13-Apr-04,2004,Invalid, TONGA,Nuku'alofa,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",Y,,Questionable Incident,
2004.04.07,7-Apr-04,2004,Unprovoked,USA,Hawaii,Surfing,M,57,FATAL Severe wound to right thigh & calf,Y,07h08,Tiger shark,
2004.04.05,5-Apr-04,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,16,"Left leg lacerated, right leg severed above the knee ",N,14h00,5 m [16.5'] white shark,
2004.04.04,4-Apr-04,2004,Invalid,USA,Hawaii,Surfing,F,22,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",,,Shark involvement prior to death was not confirmed,
2004.03.31.b,31-Mar-04,2004,Unprovoked,USA,Florida,,M,26,Right foot bitten,N,,,
2004.03.31.a,31-Mar-04,2004,Unprovoked,USA,Florida,Surfing,M,20,15 puncture wounds on foot,N,09h00,1.2 m [4'] bull shark,
2004.03.29,29-Mar-04,2004,Unprovoked,BRAZIL,Pernambuco,Body boarding,M,22,"Lower left leg bitten, surgically amputated",N,07h30,bull shark,
2004.03.28,28-Mar-04,2004,Unprovoked,USA,Florida,Surfing,M,,Heel bitten,N,15h00,bull shark,
2004.03.27.b,27-Mar-04,2004,Unprovoked,REUNION,Saint-Benoit,Surfing,M,20,Right thigh bitten,N,17h00 or 17h40,2.5 m shark,
2004.03.27.a,27-Mar-04,2004,Unprovoked,USA,Florida,Swimming,M,61,Minor lacerations & abrasions on forearm,N,08h30,,
2004.03.24,14-Mar-04,2004,Unprovoked,USA,Hawaii,Snorkeling,F,,Lacerations to left foot,N,10h00,1.8 m [6'] shark,
2004.03.22,22-Mar-04,2004,Unprovoked,NEW ZEALAND,North Island,Spearfishing,M,,No injury,N,12h30,Bronze whaler shark,
2004.03.16,16-Mar-04,2004,Unprovoked,USA,Hawaii,Surfing,M,51,"No injury, board bitten",N,07h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",
2004.03.06,6-Mar-04,2004,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,47,Shin & calf bitten,N,,"Bronze whaler shark, 1.5 m [5'] ",
2004.02.29,29-Feb-04,2004,Unprovoked,BRAZIL,Pernambuco,Swimming,M,29,"FATAL, right thigh & hip bitten   ",Y,15h00,,
2004.02.26,26-Feb-04,2004,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",Surfing,M,15,Thigh lacerated,N,19h00,2 m [6.75'] sevengill  shark,
2004.02.21,21-Feb-04,2004,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,,Three toes lacerated,N,,,
2004.02.16,16-Feb-04,2004,Invalid,AUSTRALIA,Queensland,Free diving & spearfishing,M,31,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",,11h00,Shark involvement not confirmed,
2004.02.14,14-Feb-04,2004,Unprovoked,EGYPT,,Snorkeling,M,,FATAL,Y,,,
2004.02.11,11-Feb-04,2004,Unprovoked,AUSTRALIA,New South Wales,Snorkeling,M,22,Leg bitten,N,,"60 cm [23.6""] blind or brown shark",
2004.01.25,25-Jan-04,2004,Unprovoked,AUSTRALIA,Western Australia,Scuba diving,M,46,Left leg bitten,N,11h05,4 m to 5 m [13' to 16.5'] white shark,
2004.01.23,23-Jan-04,2004,Unprovoked,URUGUAY,Rocha,Surfing,M,21,Puncture wounds to dorsum of right foot,N,,Possibily a  1.5 to 2 m sandtiger shark,
2004.01.22,22-Jan-04,2004,Invalid,NEW ZEALAND,Northlands,Boogie boarding,M,,"No injury, swim fin damaged",,,Shark involvement doubtful,
2004.01.21.b,21-Jan-04,2004,Unprovoked,VENEZUELA,Anzoategui,Swimming,M,,Lower back & hand bitten,N,14h30,"Bull shark, 1.65 m [5'5""] was speared & killed",
2004.01.21.a,21-Jan-04,2004,Unprovoked,VENEZUELA,Anzoategui,Spearfishing,M,40,Right leg bitten,N,11h00,"Bull shark, 132-kg [291-lb] ",
2004.01.15.R,Reported 15-Jan-2004 ,2004,Boating,SOUTH AFRICA,KwaZulu-Natal,Surf skiing,M,,"No injury to occupants, stern of ski bitten",N,,"Mako shark, 3 m to 4 m [10' to 13'] ",
2004.01.12,12-Jan-04,2004,Unprovoked,AUSTRALIA,New South Wales,Diving,M,,"No injury, swim fin ripped off",N,Midday,"Raggedtooth shark, 3.5 m [11.5'] ",
2004.01.07,7-Jan-04,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,22,Foot lacerated,N,,Raggedtooth shark,
2004.01.03.b,3-Jan-04,2004,Invalid,NEW ZEALAND,North Island,Kayaking (returning from spearfishing),M,,"No injury, no attack, shark took fish from back of kayak",,Afternoon,Invalid,
2004.01.03.a,3-Jan-04,2004,Sea Disaster,EGYPT,Sinai Peninsula,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,,"No survivors, sharks scavenged on remains",Y,03h00,,
2004.00.00,2004,2004,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,No inury,N,Morning,,
2003.12.31,31-Dec-03,2003,Boating,SOUTH AFRICA,KwaZulu-Natal,,,,No injury to occupants,N,,Shortfin mako shark,
2003.12.26,26-Dec-03,2003,Invalid,USA,Florida,Swimming,M,28,Knee lacerated,,,Questionable Incident,
